RAW,SKF,TIMETAKEN,,RAW,SKF
609.77,610.74,1,,,
609.77,610.72,1,,,
609.08,610.68,1,,,
609.08,610.65,1,,,
615.6,610.75,1,,,
615.6,610.85,1,,,
615.6,610.95,1,,,
609.51,610.92,1,,,
609.51,610.89,1,,,
617.64,611.04,1,,,
617.64,611.19,1,,,
609.12,611.14,1,,,
609.12,611.09,1,,,
609.12,611.05,1,,,
609.15,611,1,,,
609.15,610.96,1,,,
613.93,611.03,1,,,
613.93,611.09,1,,,
613.93,611.16,1,,,
609.54,611.12,2,,,
609.54,611.09,1,,,
609.47,611.05,1,,,
609.47,611.01,1,,,
609.47,610.98,1,,,
610.92,610.98,1,,,
610.92,610.97,1,,,
609.18,610.94,1,,,
609.18,610.9,1,,,
609.01,610.86,1,,,
609.01,610.82,1,,,
609.01,610.78,1,,,
610.03,610.76,1,,,
610.03,610.75,1,,,
620.97,610.96,1,,,
620.97,611.18,1,,,
620.97,611.42,1,,,
617.61,611.57,1,,,
617.61,611.73,1,,,
609.4,611.67,1,,,
609.4,611.61,1,,,
609.4,611.55,1,,,
616.19,611.67,1,,,
616.19,611.8,1,,,
609.5,611.73,1,,,
609.5,611.67,1,,,
609.5,611.61,1,,,
609.74,611.56,1,,,
609.74,611.51,1,,,
616.97,611.66,1,,,
616.97,611.8,1,,,
608.98,611.72,2,,,
608.98,611.65,2,,,
608.98,611.57,1,,,
613.94,611.64,1,,,
613.94,611.7,1,,,
609.14,611.63,1,,,
609.14,611.56,2,,,
609.14,611.5,1,,,
611.02,611.48,1,,,
611.02,611.47,1,,,
609.32,611.41,1,,,
609.32,611.36,1,,,
609.36,611.31,1,,,
609.36,611.26,1,,,
609.36,611.21,1,,,
609.3,611.16,1,,,
609.3,611.11,1,,,
611.95,611.13,1,,,
611.95,611.15,1,,,
611.95,611.17,1,,,
609.26,611.13,1,,,
609.26,611.08,1,,,
615.15,611.18,1,,,
615.15,611.27,1,,,
615.15,611.37,1,,,
608.92,611.31,1,,,
608.92,611.25,2,,,
609.35,611.2,1,,,
609.35,611.16,1,,,
617.17,611.3,1,,,
617.17,611.45,2,,,
617.17,611.6,1,,,
608.93,611.53,1,,,
608.93,611.46,1,,,
615.49,611.57,1,,,
615.49,611.67,1,,,
609.22,611.61,1,,,
609.22,611.54,1,,,
609.22,611.48,1,,,
609.13,611.42,1,,,
609.13,611.35,1,,,
612.79,611.39,1,,,
612.79,611.43,1,,,
612.79,611.46,2,,,
609.34,611.41,1,,,
609.34,611.36,1,,,
618.42,611.54,1,,,
618.42,611.72,1,,,
609.33,611.65,1,,,
609.33,611.59,1,,,
609.33,611.53,1,,,
609.37,611.47,1,,,
609.37,611.41,1,,,
618.28,611.6,1,,,
618.28,611.78,1,,,
618.28,611.97,1,,,
609.22,611.89,1,,,
609.22,611.81,1,,,
617.02,611.96,2,,,
617.02,612.12,1,,,
615.49,612.22,1,,,
615.49,612.32,1,,,
615.49,612.42,1,,,
609.19,612.32,2,,,
609.19,612.22,1,,,
609.7,612.15,1,,,
609.7,612.07,1,,,
609.7,612,1,,,
616.42,612.13,2,,,
616.42,612.26,1,,,
613.07,612.29,1,,,
613.07,612.31,1,,,
613.07,612.34,1,,,
609.42,612.25,2,,,
609.42,612.17,1,,,
609.69,612.1,1,,,
609.69,612.03,1,,,
609.69,611.96,1,,,
614.44,612.03,2,,,
614.44,612.1,1,,,
609.06,612.01,1,,,
609.06,611.93,1,,,
621.86,612.21,1,,,
621.86,612.5,2,,,
621.86,612.8,1,,,
617.52,612.96,1,,,
617.52,613.12,1,,,
609.58,612.99,1,,,
609.58,612.88,2,,,
609.58,612.76,1,,,
610.69,612.69,1,,,
610.69,612.62,1,,,
609.32,612.51,1,,,
609.32,612.41,2,,,
609.32,612.3,2,,,
609.93,612.23,1,,,
609.93,612.15,1,,,
617.1,612.31,1,,,
617.1,612.47,1,,,
609.43,612.37,1,,,
609.43,612.27,2,,,
609.43,612.18,1,,,
608.99,612.07,1,,,
608.99,611.97,1,,,
609.08,611.88,1,,,
609.08,611.78,1,,,
609.08,611.7,1,,,
611.87,611.7,1,,,
611.87,611.71,1,,,
616.43,611.85,1,,,
616.43,611.99,1,,,
608.85,611.89,1,,,
608.85,611.8,1,,,
608.85,611.71,1,,,
609.82,611.65,1,,,
609.82,611.59,1,,,
608.91,611.51,1,,,
608.91,611.43,1,,,
608.91,611.36,1,,,
608.94,611.28,1,,,
608.94,611.21,1,,,
616.62,611.37,1,,,
616.62,611.53,1,,,
616.62,611.69,1,,,
609.33,611.61,1,,,
609.33,611.54,1,,,
609.2,611.47,1,,,
609.2,611.4,1,,,
609.2,611.34,1,,,
615.03,611.45,2,,,
615.03,611.56,2,,,
609.39,611.49,1,,,
609.39,611.43,1,,,
613.93,611.5,1,,,
613.93,611.57,1,,,
613.93,611.64,1,,,
609.22,611.57,1,,,
609.22,611.5,1,,,
609.43,611.44,1,,,
609.43,611.39,1,,,
610.23,611.35,1,,,
610.23,611.32,1,,,
610.23,611.29,1,,,
609.06,611.23,1,,,
609.06,611.17,1,,,
609.73,611.13,1,,,
609.73,611.1,1,,,
609.73,611.06,1,,,
613.34,611.12,1,,,
613.34,611.18,2,,,
609.5,611.14,1,,,
609.5,611.09,1,,,
616.59,611.23,1,,,
616.59,611.37,1,,,
616.59,611.51,1,,,
609.32,611.45,1,,,
609.32,611.39,1,,,
613.1,611.44,1,,,
613.1,611.48,1,,,
613.1,611.52,1,,,
618.24,611.7,1,,,
618.24,611.87,1,,,
609.52,611.81,1,,,
609.52,611.74,1,,,
614.84,611.83,1,,,
614.84,611.91,1,,,
614.84,611.99,1,,,
609.15,611.92,1,,,
609.15,611.84,1,,,
609.54,611.77,1,,,
609.54,611.71,1,,,
609.54,611.65,1,,,
616.27,611.78,1,,,
616.27,611.9,1,,,
609.4,611.83,1,,,
609.4,611.76,1,,,
609.4,611.7,1,,,
615.7,611.81,2,,,
615.7,611.92,1,,,
609.53,611.85,1,,,
609.53,611.79,1,,,
609.5,611.72,2,,,
616.62,611.86,1,,,
616.62,611.99,1,,,
615.74,612.1,1,,,
615.74,612.21,1,,,
609.46,612.13,2,,,
609.46,612.05,1,,,
609.46,611.97,1,,,
613.27,612.01,1,,,
613.27,612.05,1,,,
609.23,611.97,1,,,
609.23,611.89,1,,,
609.23,611.82,1,,,
609.33,611.75,1,,,
609.33,611.68,1,,,
609.69,611.62,1,,,
609.69,611.57,1,,,
609.12,611.5,1,,,
609.12,611.44,1,,,
609.12,611.38,1,,,
612.73,611.41,1,,,
612.73,611.45,1,,,
609.16,611.39,2,,,
609.16,611.33,2,,,
618.48,611.52,2,,,
618.48,611.71,1,,,
618.48,611.9,1,,,
615.02,611.99,1,,,
615.02,612.08,1,,,
609.23,611.99,1,,,
609.23,611.91,1,,,
609.23,611.83,1,,,
610.05,611.78,1,,,
610.05,611.73,2,,,
613.68,611.79,1,,,
613.68,611.84,1,,,
613.68,611.89,1,,,
609.44,611.82,1,,,
609.44,611.76,2,,,
609.41,611.69,1,,,
609.41,611.63,1,,,
609.14,611.56,1,,,
609.14,611.5,2,,,
609.14,611.43,1,,,
609.57,611.38,1,,,
609.57,611.34,1,,,
613.25,611.39,1,,,
613.25,611.44,1,,,
613.25,611.48,1,,,
609.92,611.44,2,,,
609.92,611.4,2,,,
609.53,611.36,1,,,
609.53,611.31,1,,,
612.03,611.33,1,,,
612.03,611.35,1,,,
612.03,611.36,1,,,
609.78,611.32,1,,,
609.78,611.29,1,,,
611.31,611.29,1,,,
611.31,611.29,1,,,
609.3,611.24,2,,,
609.3,611.2,1,,,
609.3,611.16,1,,,
615.08,611.25,1,,,
615.08,611.33,1,,,
609.55,611.29,2,,,
609.55,611.25,1,,,
609.55,611.21,1,,,
609.39,611.17,1,,,
609.39,611.13,1,,,
612.39,611.16,2,,,
612.39,611.19,2,,,
612.48,611.22,1,,,
609.54,611.18,2,,,
609.54,611.14,1,,,
611.18,611.15,1,,,
611.18,611.15,1,,,
612.7,611.18,2,,,
612.7,611.21,1,,,
612.7,611.24,1,,,
609.45,611.2,1,,,
609.45,611.17,1,,,
617.55,611.3,2,,,
617.55,611.43,1,,,
609.3,611.38,1,,,
609.3,611.33,1,,,
609.3,611.29,1,,,
609.2,611.25,1,,,
609.2,611.2,1,,,
614.63,611.28,1,,,
614.63,611.35,1,,,
609.2,611.3,1,,,
609.2,611.25,1,,,
609.2,611.21,1,,,
614.67,611.29,1,,,
614.67,611.36,1,,,
608.84,611.3,1,,,
608.84,611.25,1,,,
608.84,611.19,1,,,
617.88,611.35,1,,,
617.88,611.5,1,,,
609.59,611.45,1,,,
609.59,611.41,1,,,
609.59,611.36,1,,,
609.02,611.31,1,,,
609.02,611.25,1,,,
612.31,611.28,1,,,
612.31,611.3,1,,,
612.31,611.33,1,,,
609.38,611.28,1,,,
609.38,611.24,1,,,
609.45,611.2,1,,,
609.45,611.16,1,,,
609.17,611.11,1,,,
609.17,611.07,1,,,
609.17,611.03,1,,,
609.51,610.99,1,,,
609.51,610.96,1,,,
609.54,610.93,1,,,
609.54,610.9,1,,,
612.53,610.93,2,,,
612.53,610.97,1,,,
612.53,611,1,,,
618.39,611.16,1,,,
618.39,611.32,1,,,
613.99,611.38,1,,,
613.99,611.44,1,,,
613.99,611.5,1,,,
609.89,611.46,1,,,
609.89,611.43,1,,,
609.97,611.39,1,,,
609.97,611.36,1,,,
609.97,611.33,1,,,
609.02,611.28,1,,,
609.02,611.23,2,,,
609.09,611.18,1,,,
609.09,611.13,1,,,
615.43,611.23,1,,,
615.43,611.32,1,,,
615.43,611.42,1,,,
608.9,611.36,1,,,
608.9,611.3,1,,,
609.22,611.25,1,,,
609.22,611.2,1,,,
609.22,611.16,1,,,
611.91,611.18,1,,,
611.91,611.19,1,,,
613.13,611.24,1,,,
613.13,611.28,1,,,
613.13,611.32,1,,,
612.41,611.35,1,,,
612.41,611.37,1,,,
609.06,611.32,1,,,
609.06,611.27,1,,,
609.35,611.23,1,,,
609.35,611.19,1,,,
609.35,611.15,1,,,
616.64,611.26,1,,,
616.64,611.38,1,,,
609.13,611.33,2,,,
609.13,611.28,1,,,
611.36,611.28,2,,,
611.36,611.29,1,,,
611.36,611.29,1,,,
609.29,611.24,1,,,
609.29,611.2,1,,,
609.66,611.17,1,,,
609.66,611.14,1,,,
609.66,611.1,1,,,
616.35,611.22,2,,,
616.35,611.33,1,,,
609.19,611.28,1,,,
609.19,611.23,1,,,
611.85,611.25,1,,,
611.85,611.26,1,,,
611.85,611.27,1,,,
610.1,611.25,1,,,
610.1,611.22,1,,,
609.29,611.18,2,,,
609.29,611.14,1,,,
612.69,611.18,1,,,
612.69,611.21,1,,,
612.69,611.24,1,,,
609.56,611.2,1,,,
609.56,611.17,1,,,
609.23,611.13,1,,,
609.23,611.09,1,,,
609.23,611.05,1,,,
611.68,611.07,1,,,
611.68,611.08,1,,,
610.05,611.06,1,,,
610.05,611.04,1,,,
610.05,611.02,1,,,
617.26,611.14,1,,,
617.26,611.26,1,,,
609.13,611.22,1,,,
609.13,611.17,1,,,
609.13,611.13,1,,,
614.75,611.21,1,,,
614.75,611.28,1,,,
616.57,611.39,1,,,
616.57,611.5,1,,,
608.92,611.45,1,,,
608.92,611.39,1,,,
608.92,611.33,1,,,
618,611.48,1,,,
618,611.64,1,,,
609.45,611.58,1,,,
609.45,611.53,1,,,
609.45,611.48,1,,,
609.27,611.43,1,,,
609.27,611.38,1,,,
613.85,611.44,1,,,
613.85,611.49,1,,,
613.85,611.55,2,,,
609,611.49,1,,,
609,611.43,1,,,
617.58,611.58,1,,,
617.58,611.73,2,,,
609.17,611.66,1,,,
609.17,611.6,1,,,
609.17,611.53,1,,,
619,611.73,1,,,
619,611.92,1,,,
612.77,611.94,1,,,
612.77,611.97,1,,,
612.77,611.99,1,,,
609.84,611.93,1,,,
609.84,611.88,1,,,
611.27,611.86,1,,,
611.27,611.85,1,,,
611.27,611.83,1,,,
609.14,611.77,1,,,
609.14,611.7,1,,,
609.01,611.63,1,,,
609.01,611.57,1,,,
610.72,611.55,1,,,
610.72,611.53,1,,,
610.72,611.51,1,,,
608.98,611.45,1,,,
608.98,611.39,1,,,
609.8,611.35,1,,,
609.8,611.32,1,,,
609.8,611.28,1,,,
609.34,611.24,1,,,
609.34,611.19,1,,,
613.71,611.25,1,,,
613.71,611.31,1,,,
613.71,611.36,1,,,
615.95,611.47,1,,,
615.95,611.57,1,,,
609.41,611.52,1,,,
609.41,611.47,1,,,
609.29,611.42,1,,,
609.29,611.37,1,,,
609.29,611.32,1,,,
609.36,611.27,1,,,
609.36,611.23,1,,,
609.15,611.18,2,,,
609.15,611.13,1,,,
609.15,611.09,1,,,
614.47,611.16,1,,,
614.47,611.24,1,,,
608.71,611.18,1,,,
608.71,611.12,2,,,
608.71,611.07,1,,,
609.06,611.02,1,,,
609.06,610.97,1,,,
617.31,611.12,1,,,
617.31,611.27,1,,,
609.23,611.22,1,,,
609.23,611.17,1,,,
609.23,611.12,1,,,
610.68,611.11,1,,,
610.68,611.1,1,,,
609.23,611.06,1,,,
609.23,611.01,1,,,
609.23,610.97,1,,,
610.07,610.95,1,,,
610.07,610.93,1,,,
616.48,611.06,1,,,
616.48,611.18,1,,,
616.48,611.31,1,,,
609.97,611.28,1,,,
609.97,611.25,1,,,
609.29,611.2,1,,,
609.29,611.15,1,,,
609.29,611.11,1,,,
609.01,611.06,1,,,
609.01,611.01,1,,,
609.12,610.97,1,,,
609.12,610.92,2,,,
611.77,610.94,1,,,
611.77,610.96,1,,,
611.77,610.98,1,,,
609.43,610.94,1,,,
609.43,610.91,1,,,
615.29,611.01,1,,,
615.29,611.1,1,,,
615.29,611.2,1,,,
616.1,611.31,1,,,
616.1,611.43,1,,,
609,611.37,1,,,
609,611.31,1,,,
614.01,611.38,1,,,
614.01,611.44,1,,,
614.01,611.5,1,,,
609.45,611.45,1,,,
609.45,611.4,1,,,
609.61,611.36,1,,,
609.61,611.32,1,,,
609.61,611.28,1,,,
612.74,611.31,1,,,
612.74,611.35,1,,,
609.04,611.29,1,,,
609.04,611.24,1,,,
609.04,611.19,2,,,
609.51,611.15,1,,,
609.51,611.11,1,,,
612.19,611.14,1,,,
612.19,611.16,1,,,
612.19,611.18,2,,,
615.06,611.27,1,,,
615.06,611.35,1,,,
613.08,611.39,1,,,
613.08,611.43,1,,,
609.44,611.39,2,,,
609.44,611.34,1,,,
609.44,611.3,1,,,
609.97,611.27,1,,,
609.97,611.24,1,,,
615.16,611.33,2,,,
615.16,611.41,1,,,
615.16,611.5,1,,,
609.25,611.45,1,,,
609.25,611.4,1,,,
613.07,611.43,2,,,
613.07,611.47,1,,,
613.07,611.51,1,,,
609.88,611.47,2,,,
609.88,611.44,1,,,
608.97,611.38,1,,,
608.97,611.33,1,,,
613.36,611.37,1,,,
613.36,611.42,1,,,
613.36,611.46,1,,,
616.72,611.57,1,,,
616.72,611.69,1,,,
614.88,611.77,1,,,
614.88,611.84,1,,,
614.88,611.91,1,,,
609.51,611.85,1,,,
609.51,611.8,1,,,
609.26,611.74,1,,,
609.26,611.68,1,,,
609.26,611.62,1,,,
616.25,611.73,1,,,
616.25,611.84,1,,,
609.24,611.78,1,,,
609.24,611.71,1,,,
615.84,611.82,1,,,
615.84,611.92,1,,,
615.84,612.02,1,,,
609.81,611.96,1,,,
609.81,611.9,1,,,
609.47,611.84,1,,,
609.47,611.78,1,,,
609.47,611.72,1,,,
616.7,611.85,1,,,
616.7,611.98,1,,,
611.65,611.97,1,,,
611.65,611.96,1,,,
612.03,611.96,1,,,
612.03,611.96,1,,,
612.03,611.96,1,,,
609.42,611.9,2,,,
609.42,611.84,1,,,
609.23,611.78,1,,,
609.23,611.72,1,,,
609.67,611.67,1,,,
609.67,611.63,1,,,
609.67,611.58,1,,,
609.66,611.54,1,,,
609.66,611.49,1,,,
612.39,611.51,1,,,
612.39,611.53,1,,,
612.39,611.55,1,,,
609.18,611.5,1,,,
609.18,611.45,1,,,
609.44,611.4,1,,,
609.44,611.36,1,,,
609.44,611.32,1,,,
615.66,611.41,1,,,
615.66,611.51,1,,,
609.26,611.46,1,,,
609.26,611.41,1,,,
609.26,611.36,1,,,
612.87,611.39,1,,,
612.87,611.43,1,,,
616.62,611.54,1,,,
616.62,611.66,1,,,
609.59,611.61,1,,,
609.59,611.56,1,,,
609.59,611.52,1,,,
608.95,611.46,1,,,
608.95,611.4,1,,,
609,611.34,1,,,
609,611.29,1,,,
609,611.23,1,,,
611.75,611.25,1,,,
611.75,611.26,1,,,
609.26,611.21,1,,,
609.26,611.17,1,,,
609.26,611.13,1,,,
608.73,611.07,1,,,
608.73,611.02,1,,,
608.88,610.97,1,,,
608.88,610.92,1,,,
608.88,610.88,1,,,
612.2,610.91,1,,,
612.2,610.94,1,,,
616.7,611.06,1,,,
616.7,611.19,1,,,
615.23,611.28,1,,,
615.23,611.38,1,,,
615.23,611.47,1,,,
609.64,611.43,1,,,
609.64,611.38,1,,,
615.5,611.48,1,,,
615.5,611.58,1,,,
615.5,611.68,1,,,
609.3,611.62,1,,,
609.3,611.56,1,,,
609.47,611.51,1,,,
609.47,611.46,1,,,
609.47,611.41,1,,,
612.87,611.44,1,,,
612.87,611.48,1,,,
609.09,611.42,1,,,
609.09,611.36,1,,,
616.67,611.49,1,,,
616.67,611.62,1,,,
616.67,611.75,1,,,
609.23,611.68,1,,,
609.23,611.62,1,,,
614.93,611.71,1,,,
614.93,611.79,1,,,
614.93,611.87,1,,,
608.83,611.79,1,,,
608.83,611.71,1,,,
609,611.64,1,,,
609,611.57,1,,,
609,611.5,1,,,
609.48,611.45,1,,,
609.48,611.4,1,,,
612.72,611.43,1,,,
612.72,611.47,1,,,
612.72,611.5,1,,,
609.09,611.44,1,,,
609.09,611.38,1,,,
609.08,611.32,1,,,
609.08,611.27,1,,,
609.63,611.23,1,,,
609.63,611.19,1,,,
609.63,611.15,1,,,
609.44,611.11,2,,,
609.44,611.07,1,,,
614.44,611.15,2,,,
614.44,611.23,1,,,
612.22,611.25,1,,,
612.22,611.27,1,,,
612.22,611.3,1,,,
612.56,611.33,1,,,
612.56,611.35,1,,,
609.21,611.31,1,,,
609.21,611.26,1,,,
609.21,611.21,1,,,
609.27,611.17,1,,,
609.27,611.13,1,,,
617.01,611.26,1,,,
617.01,611.39,1,,,
609.54,611.35,1,,,
609.54,611.3,1,,,
609.54,611.26,1,,,
610.91,611.25,1,,,
610.91,611.25,1,,,
609.33,611.2,1,,,
609.33,611.16,1,,,
609.33,611.12,1,,,
609.54,611.08,1,,,
609.54,611.05,1,,,
