COUNT,RAW,SKF,TIMETAKEN
1,609.08,609.2,2
2,608.88,609.19,2
3,608.88,609.19,1
4,609.02,609.19,1
5,609.02,609.19,1
6,609.02,609.19,1
7,608.91,609.19,1
8,608.91,609.19,1
9,608.83,609.18,1
10,608.83,609.18,1
11,608.83,609.18,1
12,609.15,609.18,1
13,609.15,609.18,1
14,608.96,609.18,1
15,608.96,609.18,2
16,608.83,609.18,1
17,608.83,609.17,1
18,608.83,609.17,1
19,616.66,609.21,1
20,616.66,609.25,1
21,609.17,609.25,1
22,609.17,609.25,1
23,609.17,609.25,1
24,608.86,609.25,1
25,608.86,609.25,1
26,608.67,609.24,1
27,608.67,609.24,1
28,608.67,609.24,1
29,608.8,609.24,1
30,608.8,609.23,1
31,608.78,609.23,1
32,608.78,609.23,1
33,608.78,609.22,1
34,608.78,609.22,1
35,608.78,609.22,1
36,608.82,609.22,1
37,608.82,609.22,1
38,608.85,609.21,1
39,608.85,609.21,1
40,608.85,609.21,1
41,608.62,609.21,1
42,608.62,609.2,1
43,628,609.31,1
44,628,609.44,1
45,628,609.59,1
46,608.97,609.58,1
47,608.97,609.58,1
48,608.73,609.57,1
49,608.73,609.56,1
50,608.73,609.55,1
51,608.8,609.55,1
52,608.8,609.54,1
53,608.93,609.53,1
54,608.93,609.53,1
55,608.79,609.52,1
56,608.79,609.51,1
57,608.79,609.51,1
58,608.81,609.5,1
59,608.81,609.49,1
60,608.65,609.49,1
61,608.65,609.48,1
62,608.65,609.47,1
63,608.95,609.47,1
64,608.95,609.46,1
65,608.89,609.46,1
66,608.89,609.45,1
67,608.89,609.45,1
68,629.72,609.63,1
69,629.72,609.84,1
70,609.02,609.83,1
71,609.02,609.82,1
72,609.02,609.81,1
73,608.75,609.8,1
74,608.75,609.79,1
75,608.82,609.77,1
76,608.82,609.76,1
77,609.15,609.75,1
78,609.15,609.75,2
79,609.15,609.74,1
80,608.96,609.73,1
81,608.96,609.72,1
82,608.9,609.71,1
83,608.9,609.7,1
84,608.9,609.69,1
85,609.11,609.68,1
86,609.11,609.68,1
87,608.83,609.67,1
88,608.83,609.66,1
89,608.83,609.65,1
90,608.82,609.64,1
91,608.82,609.63,1
92,615.02,609.69,1
93,615.02,609.76,1
94,608.66,609.74,1
95,608.66,609.73,1
96,608.66,609.72,1
97,608.8,609.7,1
98,608.8,609.69,1
99,608.69,609.68,1
100,608.69,609.67,1
101,608.69,609.66,1
102,608.72,609.64,1
103,608.72,609.63,1
104,608.75,609.62,1
105,608.75,609.61,1
106,608.75,609.6,1
107,608.82,609.59,1
108,608.82,609.58,1
109,608.83,609.57,1
110,608.83,609.56,1
111,608.83,609.56,1
112,608.77,609.55,1
113,608.77,609.54,1
114,608.77,609.53,1
115,608.77,609.52,1
116,608.79,609.51,1
117,608.79,609.5,1
118,608.79,609.5,1
119,619.65,609.61,1
120,619.65,609.74,1
121,608.96,609.73,1
122,608.96,609.72,1
123,608.96,609.71,1
124,608.76,609.69,1
125,608.76,609.68,1
126,608.83,609.67,1
127,608.83,609.66,1
128,608.83,609.65,1
129,608.63,609.63,1
130,608.63,609.62,1
131,608.96,609.61,1
132,608.96,609.6,1
133,608.96,609.6,1
134,608.73,609.59,1
135,608.73,609.57,1
136,608.74,609.56,1
137,608.74,609.55,1
138,608.78,609.54,1
139,608.78,609.54,1
140,608.78,609.53,1
141,608.87,609.52,1
142,608.87,609.51,1
143,629.75,609.76,1
144,629.75,610.04,1
145,629.75,610.38,1
146,609.11,610.35,1
147,609.11,610.33,1
148,608.77,610.3,1
149,608.77,610.27,1
150,608.77,610.24,1
151,608.62,610.21,1
152,608.62,610.18,1
153,608.68,610.15,1
154,608.68,610.12,1
155,608.85,610.1,1
156,608.85,610.07,1
157,608.85,610.05,1
158,608.65,610.02,1
159,608.65,610,1
160,608.84,609.98,1
161,608.84,609.95,1
162,608.84,609.93,1
163,608.54,609.91,1
164,608.54,609.88,1
165,608.76,609.86,1
166,608.76,609.84,1
167,608.76,609.83,1
168,634.86,610.27,1
169,634.86,610.79,1
170,608.84,610.74,1
171,608.84,610.69,1
172,608.84,610.65,1
173,608.8,610.6,1
174,608.8,610.55,1
175,608.63,610.5,1
176,608.63,610.46,1
177,608.62,610.41,1
178,608.62,610.37,1
179,608.62,610.33,1
180,608.79,610.29,1
181,608.79,610.25,1
182,608.58,610.21,1
183,608.58,610.17,1
184,608.58,610.14,1
185,608.69,610.1,1
186,608.69,610.07,1
187,608.52,610.03,1
188,608.52,610,1
189,608.52,609.97,1
190,608.53,609.93,1
191,608.53,609.9,1
192,615.92,610.04,1
193,615.92,610.17,1
194,615.92,610.31,1
195,608.75,610.27,1
196,608.75,610.23,1
197,608.61,610.19,1
198,608.61,610.15,1
199,608.69,610.12,1
200,608.69,610.09,1
201,608.69,610.05,1
202,608.71,610.02,1
203,608.71,609.99,1
204,608.66,609.96,1
205,608.66,609.93,1
206,608.66,609.91,1
207,608.71,609.88,1
208,608.71,609.86,1
209,608.69,609.83,1
210,608.69,609.81,1
211,608.69,609.78,1
212,608.6,609.76,1
213,608.6,609.73,1
214,608.76,609.71,1
215,608.76,609.7,1
216,608.55,609.67,1
217,608.55,609.65,1
218,608.55,609.63,1
219,616.65,609.77,1
220,616.65,609.91,1
221,608.66,609.88,1
222,608.66,609.85,1
223,608.66,609.83,1
224,608.65,609.8,1
225,608.65,609.78,1
226,608.66,609.76,1
227,608.66,609.74,1
228,608.66,609.71,1
229,608.44,609.69,1
230,608.44,609.66,1
231,608.77,609.65,1
232,608.77,609.63,1
233,608.77,609.61,1
234,608.65,609.6,1
235,608.65,609.58,1
236,608.7,609.56,1
237,608.7,609.55,1
238,608.6,609.53,1
239,608.6,609.51,1
240,608.6,609.5,1
241,608.86,609.48,1
242,608.86,609.47,1
243,624.91,609.74,1
244,624.91,610.04,1
245,624.91,610.37,1
246,608.58,610.32,1
247,608.58,610.28,1
248,608.81,610.24,1
249,608.81,610.21,1
250,608.81,610.18,1
251,608.7,610.14,1
252,608.7,610.11,1
253,608.92,610.08,1
254,608.92,610.05,1
255,608.92,610.03,1
256,608.39,609.99,1
257,608.39,609.95,1
258,608.66,609.93,1
259,608.66,609.9,1
260,608.73,609.87,1
261,608.73,609.85,1
262,608.73,609.82,1
263,608.82,609.8,1
264,608.82,609.78,1
265,608.89,609.76,1
266,608.89,609.75,1
267,608.89,609.73,1
268,627.07,610.07,1
269,627.07,610.46,1
270,608.8,610.42,1
271,608.8,610.38,1
272,608.8,610.34,1
273,608.97,610.3,1
274,608.97,610.27,1
275,608.85,610.23,1
276,608.85,610.2,1
277,608.89,610.17,1
278,608.89,610.14,1
279,608.89,610.11,1
280,608.97,610.08,1
281,608.97,610.06,1
282,608.99,610.03,1
283,608.99,610.01,1
284,608.99,609.99,1
285,608.83,609.96,1
286,608.83,609.94,1
287,608.92,609.91,1
288,608.92,609.89,1
289,608.92,609.87,1
290,608.76,609.85,1
291,608.76,609.83,1
292,613.33,609.9,1
293,613.33,609.97,2
294,613.33,610.04,1
295,608.89,610.02,1
296,608.89,609.99,1
297,608.85,609.97,1
298,608.85,609.95,1
299,608.75,609.92,1
300,608.75,609.9,1
301,608.75,609.87,1
302,608.78,609.85,1
303,608.78,609.83,1
304,608.77,609.81,1
305,608.77,609.79,1
306,608.77,609.77,1
307,608.96,609.76,1
308,608.96,609.74,1
309,608.68,609.72,1
310,608.68,609.7,1
311,608.68,609.68,1
312,608.76,609.67,1
313,608.76,609.65,1
314,608.76,609.63,1
315,608.76,609.62,1
316,608.76,609.6,1
317,608.54,609.58,1
318,608.54,609.57,1
319,609.92,609.57,1
320,609.92,609.58,1
321,608.57,609.56,1
322,608.57,609.55,1
323,608.57,609.53,1
324,608.65,609.52,1
325,608.65,609.5,1
326,608.73,609.49,1
327,608.73,609.48,1
328,608.73,609.46,1
329,608.68,609.45,1
330,608.68,609.44,1
331,608.7,609.43,1
332,608.7,609.42,1
333,608.7,609.41,1
334,608.54,609.39,1
335,608.54,609.38,1
336,608.79,609.37,1
337,608.79,609.36,1
338,608.68,609.35,1
339,608.68,609.34,1
340,608.68,609.33,1
341,608.96,609.33,1
342,608.96,609.32,1
343,614.72,609.4,1
344,614.72,609.48,1
345,614.72,609.56,1
346,608.93,609.55,1
347,608.93,609.54,1
348,608.75,609.52,1
349,608.75,609.51,1
350,608.75,609.5,1
351,608.62,609.49,1
352,608.62,609.47,1
353,608.76,609.46,1
354,608.76,609.45,1
355,608.76,609.44,1
356,608.83,609.44,1
357,608.83,609.43,1
358,608.91,609.42,1
359,608.91,609.41,1
360,608.84,609.4,1
361,608.84,609.4,1
362,608.84,609.39,1
363,608.89,609.38,1
364,608.89,609.37,1
365,608.86,609.37,1
366,608.86,609.36,1
367,608.86,609.35,1
368,618.5,609.47,1
369,618.5,609.6,1
370,608.77,609.59,1
371,608.77,609.58,1
372,608.77,609.56,1
373,608.81,609.55,1
374,608.81,609.54,1
375,608.89,609.53,1
376,608.89,609.52,1
377,608.89,609.51,1
378,608.96,609.51,2
379,608.96,609.5,1
380,608.94,609.49,1
381,608.94,609.48,1
382,608.93,609.48,1
383,608.93,609.47,1
384,608.93,609.46,1
385,608.9,609.45,1
386,608.9,609.45,1
387,608.82,609.44,1
388,608.82,609.43,1
389,608.82,609.42,1
390,609.01,609.42,1
391,609.01,609.41,1
392,613.05,609.46,1
393,613.05,609.5,1
394,613.05,609.55,1
395,608.85,609.54,1
396,608.85,609.53,1
397,608.92,609.52,1
398,608.92,609.52,1
399,609.12,609.51,1
400,609.12,609.51,1
401,609.12,609.5,1
402,608.99,609.49,1
403,608.99,609.49,1
404,609.01,609.48,1
405,609.01,609.48,1
406,609.01,609.47,1
407,608.86,609.46,1
408,608.86,609.45,1
409,609.05,609.45,1
410,609.05,609.44,1
411,609.05,609.44,1
412,608.83,609.43,1
413,608.83,609.43,1
414,608.91,609.42,1
415,608.91,609.41,1
416,608.91,609.41,1
417,608.67,609.4,1
418,608.67,609.39,1
419,609.49,609.39,1
420,609.49,609.39,1
421,608.84,609.39,1
422,608.84,609.38,1
423,608.84,609.37,1
424,609.04,609.37,1
425,609.04,609.37,1
426,608.8,609.36,1
427,608.8,609.36,1
428,608.8,609.35,1
429,608.88,609.34,1
430,608.88,609.34,1
431,608.74,609.33,1
432,608.74,609.33,1
433,608.74,609.32,1
434,608.73,609.31,1
435,608.73,609.31,1
436,608.77,609.3,1
437,608.77,609.3,1
438,608.77,609.29,1
439,608.87,609.29,1
440,608.87,609.28,1
441,608.85,609.28,1
442,608.85,609.27,1
443,614.26,609.32,1
444,614.26,609.38,1
445,614.26,609.43,1
446,608.91,609.42,1
447,608.91,609.42,1
448,608.73,609.41,1
449,608.73,609.4,1
450,608.73,609.39,1
451,608.79,609.39,1
452,608.79,609.38,1
453,608.66,609.37,1
454,608.66,609.37,1
455,608.66,609.36,1
456,608.9,609.35,1
457,608.9,609.35,1
458,608.92,609.34,1
459,608.92,609.34,1
460,608.89,609.33,1
461,608.89,609.33,1
462,608.89,609.33,1
463,608.98,609.32,1
464,608.98,609.32,1
465,608.91,609.31,1
466,608.91,609.31,1
467,608.91,609.31,1
468,626.6,609.48,1
469,626.6,609.67,1
470,609.15,609.67,1
471,609.15,609.66,1
472,609.15,609.65,1
473,608.99,609.64,1
474,608.99,609.64,1
475,608.91,609.63,1
476,608.91,609.62,1
477,608.91,609.61,1
478,609.03,609.6,1
479,609.03,609.59,1
480,608.94,609.59,1
481,608.94,609.58,1
482,608.98,609.57,1
483,608.98,609.56,1
484,608.98,609.56,1
485,608.95,609.55,1
486,608.95,609.54,1
487,609.14,609.54,1
488,609.14,609.53,1
489,609.14,609.53,1
490,608.82,609.52,1
491,608.82,609.51,1
492,618.91,609.62,1
493,618.91,609.74,1
494,618.91,609.86,1
495,608.82,609.84,1
496,608.82,609.83,1
497,608.9,609.81,1
498,608.9,609.8,1
499,608.9,609.79,1
500,608.71,609.77,1
501,608.71,609.76,1
502,608.87,609.75,1
503,608.87,609.73,1
504,608.96,609.72,1
505,608.96,609.71,1
506,608.96,609.7,1
507,608.9,609.69,1
508,608.9,609.68,1
509,608.8,609.67,1
510,608.8,609.66,1
511,608.8,609.65,1
512,608.83,609.64,1
513,608.83,609.62,1
514,608.89,609.62,1
515,608.89,609.61,1
516,608.89,609.6,1
517,608.38,609.58,1
518,608.38,609.57,1
519,608.89,609.56,1
520,608.89,609.55,1
521,608.59,609.54,1
522,608.59,609.52,1
523,608.59,609.51,1
524,608.99,609.51,1
525,608.99,609.5,1
526,608.86,609.49,1
527,608.86,609.48,1
528,608.86,609.48,1
529,608.72,609.47,1
530,608.72,609.46,1
531,608.89,609.45,1
532,608.89,609.44,1
533,608.89,609.44,1
534,608.82,609.43,1
535,608.82,609.42,1
536,608.99,609.42,1
537,608.99,609.41,1
538,608.99,609.41,1
539,609.12,609.41,1
540,609.12,609.4,1
541,608.98,609.4,1
542,608.98,609.39,1
543,623.85,609.55,1
544,623.85,609.73,1
545,623.85,609.93,1
546,609.11,609.92,1
547,609.11,609.91,1
548,609.11,609.89,2
549,609.11,609.88,1
550,609.11,609.87,1
551,609.13,609.86,1
552,609.13,609.85,1
553,608.82,609.83,1
554,608.82,609.82,1
555,608.82,609.8,1
556,608.9,609.79,1
557,608.9,609.77,1
558,608.8,609.76,1
559,608.8,609.75,1
560,608.87,609.73,1
561,608.87,609.72,1
562,608.87,609.71,1
563,608.67,609.69,1
564,608.67,609.68,1
565,609.14,609.67,1
566,609.14,609.66,1
567,609.14,609.66,1
568,622.02,609.83,1
569,622.02,610.01,1
570,608.84,609.99,1
571,608.84,609.97,1
572,608.84,609.96,1
573,608.74,609.94,1
574,608.74,609.92,1
575,609.19,609.9,1
576,609.19,609.89,1
577,609.19,609.88,1
578,608.79,609.86,1
579,608.79,609.85,1
580,608.94,609.83,1
581,608.94,609.82,1
582,608.89,609.8,1
583,608.89,609.79,1
584,608.89,609.78,1
585,608.97,609.76,1
586,608.97,609.75,1
587,608.96,609.74,1
588,608.96,609.73,1
589,608.96,609.72,1
590,608.94,609.71,1
591,608.94,609.69,1
592,621.12,609.86,1
593,621.12,610.04,1
594,621.12,610.23,1
595,608.97,610.21,1
596,608.97,610.18,1
597,608.77,610.16,1
598,608.77,610.13,1
599,608.77,610.11,1
600,609.25,610.09,1
601,609.25,610.08,1
602,608.83,610.05,1
603,608.83,610.03,1
604,608.74,610.01,1
605,608.74,609.99,1
606,608.74,609.96,1
607,608.63,609.94,1
608,608.63,609.92,1
609,608.69,609.9,1
610,608.69,609.88,1
611,608.69,609.85,1
612,608.71,609.84,1
613,608.71,609.82,1
614,608.68,609.8,1
615,608.68,609.78,1
616,608.68,609.76,1
617,608.6,609.74,1
618,608.6,609.72,1
619,616.21,609.83,1
620,616.21,609.94,1
621,609.14,609.92,1
622,609.14,609.91,1
623,609.14,609.9,1
624,608.81,609.88,1
625,608.81,609.86,1
626,608.57,609.84,1
627,608.57,609.81,1
628,608.57,609.79,1
629,608.49,609.77,1
630,608.49,609.75,1
631,608.52,609.73,1
632,608.52,609.71,1
633,608.52,609.69,1
634,608.77,609.67,1
635,608.77,609.66,1
636,608.83,609.64,1
637,608.83,609.63,1
638,608.83,609.62,1
639,608.65,609.6,1
640,608.65,609.59,1
641,608.69,609.57,1
642,608.69,609.56,1
643,626.31,609.82,1
644,626.31,610.11,1
645,626.31,610.45,1
646,609.17,610.42,1
647,609.17,610.39,1
648,608.68,610.35,1
649,608.68,610.31,1
650,608.68,610.27,1
651,608.65,610.24,1
652,608.65,610.2,1
653,608.54,610.17,1
654,608.54,610.13,1
655,608.54,610.1,1
656,608.65,610.06,1
657,608.65,610.03,1
658,608.94,610.01,1
659,608.94,609.99,1
