RAW,SKF
607.61,607.91
607.61,607.90
607.61,607.90
607.71,607.90
607.71,607.89
607.74,607.89
607.74,607.89
607.74,607.89
607.80,607.89
607.80,607.89
607.87,607.89
607.87,607.89
607.78,607.88
607.78,607.88
607.78,607.88
607.98,607.88
607.98,607.88
607.64,607.88
607.64,607.88
607.64,607.88
607.59,607.87
607.59,607.87
612.19,607.92
612.19,607.96
612.19,608.01
607.78,608.01
607.78,608.00
607.80,608.00
607.80,608.00
607.80,608.00
607.95,608.00
607.95,608.00
607.83,607.99
607.83,607.99
607.49,607.99
607.49,607.98
607.49,607.98
607.83,607.98
607.83,607.97
607.61,607.97
607.61,607.97
607.61,607.96
607.89,607.96
607.89,607.96
607.86,607.96
607.86,607.96
607.86,607.96
608.90,607.97
608.90,607.98
607.43,607.97
607.43,607.97
607.55,607.96
607.55,607.96
607.55,607.95
607.76,607.95
607.76,607.95
607.56,607.95
607.56,607.94
607.56,607.94
607.68,607.94
607.68,607.94
607.45,607.93
607.45,607.93
607.45,607.92
607.43,607.92
607.43,607.91
607.61,607.91
607.61,607.91
607.72,607.91
607.76,607.91
607.76,607.90
608.00,607.91
608.00,607.91
608.86,607.91
608.86,607.92
608.86,607.93
607.60,607.93
607.60,607.92
607.32,607.92
607.32,607.91
607.32,607.91
607.35,607.91
607.35,607.90
607.55,607.90
607.55,607.89
607.55,607.89
607.53,607.89
607.53,607.89
607.49,607.88
607.49,607.88
607.64,607.88
607.64,607.88
607.64,607.87
607.81,607.87
607.81,607.87
607.67,607.87
607.67,607.87
607.67,607.87
613.48,607.91
613.48,607.96
607.67,607.95
607.67,607.95
607.67,607.95
607.67,607.95
607.67,607.94
607.36,607.94
607.36,607.93
607.36,607.93
607.64,607.93
607.64,607.93
607.52,607.92
607.52,607.92
607.60,607.92
607.60,607.91
607.60,607.91
607.55,607.91
607.55,607.91
607.68,607.90
607.68,607.90
607.68,607.90
607.47,607.90
607.47,607.89
612.39,607.93
612.39,607.96
612.39,608.00
607.85,608.00
607.85,608.00
607.43,607.99
607.43,607.99
607.40,607.98
607.40,607.98
607.40,607.97
607.54,607.97
607.54,607.97
607.58,607.96
607.58,607.96
607.58,607.96
607.68,607.95
607.68,607.95
607.51,607.95
607.51,607.94
607.51,607.94
607.46,607.94
607.46,607.93
607.60,607.93
607.60,607.93
607.85,607.93
608.66,607.93
608.66,607.94
607.48,607.94
607.48,607.93
607.67,607.93
607.67,607.93
607.67,607.93
607.63,607.92
607.63,607.92
607.66,607.92
607.66,607.92
607.66,607.92
607.36,607.91
607.36,607.91
607.45,607.90
607.45,607.90
607.45,607.90
607.46,607.89
607.46,607.89
607.54,607.89
607.54,607.89
607.56,607.88
607.56,607.88
607.56,607.88
607.50,607.88
607.50,607.87
608.31,607.88
608.31,607.88
608.31,607.88
607.61,607.88
607.61,607.88
607.74,607.88
607.74,607.88
607.74,607.88
607.70,607.88
607.70,607.87
607.51,607.87
607.51,607.87
607.51,607.87
607.50,607.86
607.50,607.86
607.60,607.86
607.60,607.86
607.65,607.86
607.65,607.86
607.65,607.85
607.70,607.85
607.70,607.85
607.67,607.85
607.67,607.85
607.67,607.85
611.85,607.87
611.85,607.90
607.69,607.90
607.69,607.90
607.69,607.90
607.68,607.90
607.68,607.89
607.60,607.89
607.60,607.89
607.70,607.89
607.70,607.89
607.70,607.89
607.49,607.88
607.49,607.88
607.70,607.88
607.70,607.88
607.70,607.88
607.57,607.88
607.57,607.87
607.77,607.87
607.77,607.87
607.77,607.87
607.86,607.87
607.86,607.87
614.41,607.91
614.41,607.95
614.41,608.00
607.69,608.00
607.69,607.99
607.72,607.99
607.72,607.99
607.65,607.99
607.65,607.99
607.65,607.98
607.84,607.98
607.84,607.98
607.57,607.98
607.57,607.98
607.57,607.97
607.64,607.97
607.64,607.97
607.75,607.97
607.75,607.96
607.75,607.96
607.64,607.96
607.64,607.96
607.80,607.96
607.80,607.96
608.24,607.96
608.24,607.96
608.24,607.96
607.61,607.96
607.61,607.96
607.55,607.96
607.55,607.95
607.55,607.95
607.53,607.95
607.53,607.94
607.38,607.94
607.38,607.94
607.38,607.93
607.78,607.93
607.78,607.93
607.61,607.93
607.61,607.93
607.61,607.93
607.48,607.92
607.48,607.92
607.67,607.92
607.67,607.92
607.69,607.92
607.69,607.91
607.69,607.91
607.87,607.91
607.87,607.91
610.35,607.93
610.35,607.94
610.35,607.96
607.94,607.96
607.94,607.96
607.92,607.96
607.92,607.96
607.92,607.96
607.77,607.96
607.77,607.95
607.92,607.95
607.92,607.95
607.60,607.95
607.70,607.95
607.70,607.95
607.66,607.95
607.66,607.94
607.79,607.94
607.79,607.94
607.79,607.94
607.89,607.94
607.89,607.94
607.95,607.94
607.95,607.94
607.95,607.94
611.75,607.96
611.75,607.99
607.92,607.99
607.92,607.99
607.92,607.98
607.83,607.98
607.83,607.98
607.74,607.98
607.74,607.98
607.55,607.98
607.55,607.97
607.55,607.97
607.63,607.97
607.63,607.97
607.54,607.97
607.54,607.96
607.54,607.96
607.73,607.96
607.73,607.96
607.87,607.96
607.87,607.96
607.87,607.96
607.80,607.96
607.80,607.95
612.00,607.98
612.00,608.00
612.00,608.03
607.55,608.02
607.55,608.02
607.98,608.02
607.98,608.02
607.59,608.02
607.59,608.01
607.59,608.01
607.83,608.01
607.83,608.01
607.83,608.01
607.83,608.01
607.83,608.01
607.98,608.01
607.98,608.01
607.61,608.00
607.61,608.00
607.61,608.00
607.59,608.00
607.59,607.99
607.55,607.99
607.55,607.99
608.05,607.99
608.05,607.99
608.05,607.99
607.74,607.99
607.74,607.99
607.64,607.98
607.64,607.98
607.64,607.98
607.49,607.98
607.49,607.98
607.41,607.97
607.41,607.97
607.41,607.97
607.69,607.96
607.69,607.96
607.66,607.96
607.66,607.96
607.66,607.96
607.50,607.95
607.50,607.95
607.66,607.95
607.66,607.95
607.73,607.95
607.73,607.95
607.73,607.95
607.55,607.94
607.55,607.94
611.12,607.96
611.12,607.98
611.12,607.99
607.65,607.99
607.65,607.99
607.40,607.99
607.40,607.98
607.40,607.98
607.40,607.98
607.40,607.97
607.40,607.97
607.40,607.97
607.43,607.96
607.43,607.96
607.43,607.96
607.46,607.95
607.46,607.95
607.60,607.95
607.60,607.95
607.60,607.94
607.65,607.94
607.65,607.94
607.67,607.94
607.67,607.94
607.67,607.94
614.92,607.98
614.92,608.02
607.62,608.02
607.62,608.01
607.62,608.01
607.76,608.01
607.76,608.01
607.89,608.01
607.89,608.01
607.64,608.00
607.64,608.00
607.64,608.00
607.76,608.00
607.76,608.00
607.84,608.00
607.84,607.99
607.84,607.99
607.81,607.99
607.81,607.99
607.67,607.99
607.67,607.99
607.67,607.99
607.78,607.98
607.78,607.98
613.96,608.02
613.96,608.06
607.39,608.05
607.39,608.05
607.39,608.04
607.71,608.04
607.71,608.04
607.74,608.04
607.74,608.04
607.74,608.03
607.72,608.03
607.72,608.03
607.82,608.03
607.82,608.03
607.82,608.03
607.68,608.02
607.68,608.02
607.88,608.02
607.88,608.02
607.88,608.02
607.86,608.02
607.86,608.02
607.63,608.01
607.63,608.01
607.99,608.01
607.99,608.01
607.99,608.01
607.85,608.01
607.85,608.01
607.82,608.01
607.82,608.01
607.82,608.01
607.72,608.00
607.72,608.00
607.67,608.00
607.67,608.00
607.67,608.00
607.48,607.99
607.48,607.99
607.71,607.99
607.71,607.99
607.78,607.99
607.78,607.98
607.78,607.98
607.81,607.98
607.81,607.98
607.65,607.98
607.65,607.98
607.65,607.98
607.67,607.97
607.67,607.97
610.06,607.98
610.06,608.00
610.06,608.01
607.57,608.01
607.57,608.00
607.60,608.00
607.60,608.00
607.60,608.00
607.52,607.99
607.52,607.99
607.47,607.99
607.47,607.98
607.47,607.98
607.47,607.98
607.47,607.98
607.50,607.97
607.50,607.97
607.27,607.97
607.27,607.96
607.27,607.96
607.44,607.95
607.44,607.95
607.39,607.95
607.39,607.95
607.39,607.94
616.03,607.99
616.03,608.04
607.72,608.04
607.72,608.03
607.72,608.03
607.76,608.03
607.76,608.03
607.51,608.03
607.51,608.02
607.79,608.02
607.79,608.02
607.79,608.02
607.68,608.02
607.68,608.01
607.90,608.01
607.90,608.01
607.90,608.01
607.66,608.01
607.66,608.01
607.60,608.00
607.60,608.00
607.60,608.00
607.80,608.00
607.80,608.00
613.84,608.03
613.84,608.07
607.94,608.07
607.94,608.07
607.94,608.07
607.89,608.07
607.89,608.07
607.82,608.06
607.82,608.06
607.82,608.06
607.94,608.06
607.94,608.06
607.80,608.06
607.80,608.06
607.80,608.05
608.02,608.05
608.02,608.05
607.80,608.05
607.80,608.05
607.62,608.05
607.62,608.05
607.62,608.04
607.70,608.04
607.70,608.04
607.87,608.04
607.87,608.04
607.87,608.04
608.08,608.04
608.08,608.04
607.79,608.03
607.79,608.03
607.79,608.03
607.83,608.03
607.83,608.03
607.94,608.03
607.94,608.03
607.94,608.03
607.81,608.03
607.81,608.03
607.73,608.02
607.73,608.02
607.74,608.02
607.74,608.02
607.74,608.02
607.79,608.02
607.79,608.01
607.77,608.01
607.77,608.01
607.77,608.01
607.88,608.01
607.88,608.01
613.16,608.04
613.16,608.07
613.16,608.10
607.79,608.10
607.79,608.09
607.77,608.09
607.77,608.09
607.82,608.09
607.82,608.09
607.82,608.09
607.38,608.08
607.38,608.08
607.83,608.08
607.83,608.07
607.83,608.07
607.73,608.07
607.73,608.07
607.82,608.07
607.82,608.07
607.82,608.06
607.76,608.06
607.76,608.06
607.77,608.06
607.77,608.06
607.77,608.05
614.08,608.09
614.08,608.13
607.78,608.13
607.78,608.12
607.49,608.12
607.49,608.12
607.49,608.11
607.75,608.11
607.75,608.11
607.68,608.10
607.68,608.10
607.68,608.10
607.74,608.10
607.74,608.09
607.76,608.09
607.76,608.09
607.76,608.09
607.74,608.09
607.74,608.08
607.84,608.08
607.84,608.08
607.63,608.08
607.63,608.07
607.63,608.07
609.72,608.08
609.72,608.09
607.85,608.09
607.85,608.09
607.85,608.09
608.03,608.09
608.03,608.09
607.71,608.08
607.71,608.08
607.71,608.08
607.72,608.08
607.72,608.08
607.76,608.07
607.76,608.07
607.76,608.07
607.82,608.07
607.82,608.07
607.76,608.06
607.76,608.06
607.86,608.06
607.86,608.06
607.86,608.06
607.83,608.06
607.83,608.06
607.49,608.05
607.49,608.05
607.49,608.05
607.62,608.04
607.62,608.04
607.48,608.04
607.48,608.03
607.48,608.03
607.58,608.03
607.58,608.03
607.59,608.02
607.59,608.02
607.67,608.02
607.67,608.02
607.67,608.01
607.69,608.01
607.69,608.01
607.89,608.01
607.89,608.01
607.89,608.01
607.98,608.01
607.98,608.01
608.02,608.01
608.02,608.01
608.02,608.01
607.84,608.01
607.84,608.01
610.30,608.02
610.30,608.03
610.30,608.05
608.05,608.05
608.05,608.05
608.00,608.05
608.00,608.04
607.73,608.04
607.73,608.04
607.73,608.04
607.98,608.04
607.98,608.04
607.90,608.04
607.90,608.04
607.90,608.04
607.85,608.04
607.85,608.03
607.91,608.03
607.91,608.03
607.91,608.03
607.92,608.03
607.92,608.03
607.78,608.03
607.78,608.03
607.78,608.03
612.84,608.05
612.84,608.08
607.82,608.08
607.82,608.08
607.71,608.07
607.71,608.07
607.71,608.07
607.81,608.07
607.81,608.07
607.91,608.07
607.91,608.07
607.91,608.06
607.82,608.06
607.82,608.06
607.58,608.06
607.58,608.06
607.58,608.05
607.55,608.05
607.55,608.05
607.73,608.05
607.73,608.04
607.76,608.04
607.76,608.04
607.76,608.04
612.19,608.06
612.19,608.09
607.80,608.08
607.80,608.08
607.80,608.08
607.95,608.08
607.95,608.08
607.78,608.08
607.78,608.08
607.78,608.07
607.84,608.07
607.84,608.07
607.96,608.07
607.96,608.07
607.96,608.07
607.73,608.07
607.73,608.07
607.69,608.06
607.69,608.06
607.63,608.06
607.63,608.06
607.63,608.05
607.72,608.05
607.72,608.05
607.75,608.05
607.75,608.05
607.75,608.05
607.74,608.04
607.74,608.04
607.62,608.04
607.62,608.04
607.62,608.04
607.69,608.03
607.69,608.03
607.48,608.03
607.48,608.03
607.80,608.03
607.80,608.02
607.80,608.02
607.86,608.02
607.86,608.02
607.48,608.02
607.48,608.02
607.48,608.01
607.57,608.01
607.57,608.01
607.51,608.01
607.51,608.00
607.51,608.00
607.55,608.00
607.55,608.00
611.79,608.02
611.79,608.04
611.79,608.06
607.54,608.05
607.54,608.05
607.78,608.05
607.78,608.05
607.45,608.04
607.45,608.04
607.45,608.04
607.61,608.04
607.61,608.03
607.64,608.03
607.64,608.03
607.64,608.03
607.55,608.02
607.55,608.02
607.65,608.02
607.65,608.02
607.65,608.01
607.68,608.01
607.68,608.01
607.53,608.01
607.53,608.01
607.53,608.00
613.67,608.03
613.67,608.07
607.61,608.06
607.61,608.06
607.65,608.06
607.65,608.06
607.65,608.05
607.84,608.05
607.84,608.05
607.63,608.05
607.63,608.05
607.63,608.04
607.55,608.04
607.55,608.04
607.52,608.03
607.52,608.03
607.52,608.03
607.36,608.02
607.36,608.02
607.63,608.02
607.63,608.02
607.65,608.01
607.65,608.01
607.65,608.01
612.20,608.03
612.20,608.06
607.76,608.06
607.76,608.06
607.76,608.05
607.76,608.05
607.76,608.05
607.61,608.05
607.61,608.05
607.61,608.04
607.61,608.04
607.61,608.04
607.78,608.04
607.78,608.03
607.78,608.03
607.69,608.03
607.69,608.03
607.81,608.03
607.81,608.03
607.87,608.02
607.87,608.02
607.87,608.02
607.90,608.02
607.90,608.02
607.81,608.02
607.81,608.02
607.81,608.02
608.00,608.02
608.00,608.02
607.89,608.02
607.89,608.02
607.89,608.02
607.72,608.01
607.72,608.01
608.05,608.01
608.05,608.01
607.69,608.01
607.69,608.01
607.69,608.01
607.72,608.01
607.72,608.00
608.02,608.00
608.02,608.00
608.02,608.00
607.97,608.00
607.97,608.00
607.99,608.00
607.99,608.00
608.00,608.00
608.00,608.00
608.00,608.00
611.00,608.02
611.00,608.04
607.74,608.03
607.74,608.03
607.74,608.03
607.82,608.03
607.82,608.03
607.68,608.03
607.68,608.02
608.02,608.02
608.02,608.02
608.02,608.02
607.61,608.02
607.61,608.02
607.74,608.02
607.74,608.02
607.74,608.02
607.93,608.01
607.93,608.01
607.93,608.01
607.93,608.01
607.93,608.01
607.74,608.01
607.74,608.01
612.55,608.03
612.55,608.06
612.55,608.08
607.92,608.08
607.92,608.08
607.77,608.08
607.77,608.08
607.89,608.08
607.89,608.08
607.89,608.07
607.81,608.07
607.81,608.07
607.89,608.07
607.89,608.07
607.89,608.07
607.84,608.07
607.84,608.07
607.77,608.06
607.77,608.06
607.77,608.06
608.01,608.06
608.01,608.06
607.93,608.06
607.93,608.06
611.42,608.08
611.42,608.10
611.42,608.11
608.08,608.11
608.08,608.11
607.86,608.11
607.86,608.11
607.86,608.11
607.92,608.11
607.92,608.11
607.79,608.11
607.79,608.10
607.79,608.10
607.79,608.10
607.79,608.10
607.84,608.10
607.84,608.10
607.84,608.09
607.83,608.09
607.83,608.09
607.94,608.09
607.94,608.09
607.76,608.09
607.76,608.09
607.76,608.08
607.65,608.08
607.65,608.08
607.96,608.08
607.96,608.08
607.96,608.08
607.67,608.08
607.67,608.07
607.93,608.07
607.93,608.07
607.93,608.07
607.80,608.07
607.80,608.07
607.87,608.07
607.87,608.07
607.87,608.07
607.90,608.06
607.90,608.06
607.82,608.06
607.82,608.06
607.79,608.06
607.79,608.06
607.79,608.06
607.74,608.06
607.74,608.05
607.84,608.05
607.84,608.05
607.84,608.05
611.72,608.07
611.72,608.09
607.65,608.09
607.65,608.08
607.65,608.08
607.75,608.08
607.75,608.08
607.72,608.08
607.72,608.07
607.89,608.07
607.89,608.07
607.89,608.07
607.86,608.07
607.86,608.07
607.77,608.07
607.77,608.07
607.77,608.06
607.97,608.06
607.97,608.06
607.91,608.06
607.91,608.06
607.91,608.06
607.78,608.06
607.78,608.06
612.38,608.08
612.38,608.10
612.38,608.13
607.77,608.12
607.77,608.12
607.69,608.12
607.69,608.12
607.79,608.11
607.79,608.11
607.79,608.11
608.08,608.11
608.08,608.11
608.03,608.11
608.03,608.11
608.03,608.11
607.86,608.11
607.86,608.11
607.67,608.10
607.67,608.10
607.67,608.10
607.86,608.10
607.86,608.10
607.94,608.10
607.94,608.10
611.56,608.11
611.56,608.13
611.56,608.15
607.54,608.15
607.54,608.14
607.79,608.14
607.79,608.14
607.79,608.14
607.82,608.14
607.82,608.13
607.89,608.13
607.89,608.13
607.89,608.13
607.94,608.13
607.94,608.13
608.13,608.13
608.13,608.13
608.07,608.13
608.07,608.13
608.07,608.13
607.82,608.13
607.82,608.12
607.80,608.12
607.80,608.12
607.80,608.12
607.86,608.12
607.86,608.12
608.02,608.12
608.02,608.11
608.02,608.11
607.69,608.11
607.69,608.11
607.94,608.11
607.94,608.11
607.94,608.11
607.94,608.11
607.94,608.11
608.06,608.11
608.06,608.11
607.58,608.10
607.58,608.10
607.58,608.10
607.76,608.10
607.76,608.09
607.89,608.09
607.89,608.09
607.89,608.09
607.61,608.09
607.61,608.09
607.81,608.08
607.81,608.08
607.81,608.08
610.30,608.09
610.30,608.10
607.81,608.10
607.81,608.10
607.76,608.10
607.76,608.10
607.76,608.10
607.71,608.09
607.71,608.09
607.91,608.09
607.91,608.09
607.91,608.09
607.88,608.09
607.88,608.09
607.50,608.08
607.50,608.08
607.50,608.08
607.75,608.08
607.75,608.07
607.78,608.07
607.78,608.07
607.78,608.07
607.80,608.07
607.80,608.07
613.70,608.10
613.70,608.13
608.04,608.12
608.04,608.12
608.04,608.12
607.83,608.12
607.83,608.12
607.81,608.12
607.81,608.12
607.81,608.12
607.74,608.11
607.74,608.11
607.66,608.11
607.66,608.11
607.66,608.10
607.64,608.10
607.64,608.10
607.66,608.10
607.66,608.09
607.62,608.09
607.62,608.09
607.62,608.09
607.58,608.08
607.58,608.08
611.76,608.10
611.76,608.12
611.76,608.14
607.38,608.14
607.38,608.13
607.69,608.13
607.69,608.13
607.69,608.13
607.54,608.12
607.54,608.12
607.72,608.12
607.72,608.11
607.72,608.11
607.57,608.11
607.57,608.11
607.84,608.10
607.84,608.10
607.81,608.10
607.81,608.10
607.81,608.10
607.59,608.09
607.59,608.09
607.51,608.09
607.51,608.08
607.51,608.08
607.55,608.08
607.55,608.08
607.55,608.07
607.55,608.07
607.55,608.07
607.65,608.06
607.65,608.06
607.59,608.06
607.59,608.06
607.65,608.05
607.65,608.05
607.65,608.05
607.55,608.05
607.55,608.04
607.51,608.04
607.51,608.04
607.51,608.04
607.43,608.03
607.43,608.03
607.65,608.03
607.65,608.02
607.65,608.02
607.53,608.02
607.53,608.02
607.47,608.01
607.47,608.01
607.47,608.01
613.74,608.04
613.74,608.07
607.54,608.07
607.54,608.07
607.73,608.06
607.73,608.06
607.73,608.06
607.57,608.06
607.57,608.05
607.63,608.05
607.63,608.05
607.63,608.05
607.58,608.04
607.58,608.04
607.45,608.04
607.45,608.03
607.45,608.03
607.58,608.03
607.58,608.02
607.54,608.02
607.54,608.02
607.54,608.02
607.39,608.01
607.39,608.01
616.09,608.06
616.09,608.11
607.56,608.11
607.56,608.10
607.56,608.10
607.33,608.09
607.33,608.09
607.49,608.08
607.49,608.08
607.49,608.07
607.66,608.07
607.66,608.07
607.30,608.06
607.30,608.06
607.30,608.05
607.42,608.05
607.42,608.04
607.56,608.04
607.56,608.04
607.64,608.04
607.64,608.03
607.64,608.03
607.42,608.03
607.42,608.02
611.20,608.04
611.20,608.07
611.20,608.09
607.45,608.08
607.45,608.08
607.50,608.07
607.50,608.07
607.50,608.07
607.55,608.06
607.55,608.06
607.65,608.06
607.65,608.05
607.65,608.05
607.75,608.05
